index,word,meaning
8245,experiência,"s. f. a) (acto ou efeito de experimentar) kuringétá (ku). b) (prática da vida) vutíví (vu). c) (habilidade, prática, adquiridas com o exercício constante) vukóta (vu), prátika (ri-ma). (P) prática. d) (prova, tentativa) ringéto ndzingéto (mu-mi), xiperiyénsa (xi-svi). (P)."
8246,experiente,"adj. -á kutívá, á kutlháríhá loc. adj."
8247,experimentado,"adj. a) -á kuríngétíwa loc. adj. b) (experiente) -á kutívá, -á kutlháríhá loc. adj."
8248,experimentar,"v. t. a) (submeter a experiência, pôr à prova) kuríngétá, kuríngísá v. t. b) (submeter a provas morais) kukámbá v. t. c) (conhecer ou avaliar pela experiência) kuhanya v. t. d) (vestir (roupa que se compra feita ou que se mandou fazer) ou calçar (sapato, luva, etc., nos mesmos casos) para ver se ficam bem) kuríngísá, kupima v. t. e) (sentir, sofrer, suportar) kubzatsha, kurhwálá v. t., kugwenta v. t. (P) aguentar."
8249,experto,"s. m. nsíní (yi-ti), mutshila (mu-va)."
8250,expiação,"s. f. (castigo, cumprimento de pena) ndziho, nkhupu (mu-mi), xikhatiso (xi-svi); kutikhúpá (ku)."
8251,expiar,"v. t. a) (remiir (a culpa), cumprindo pena) kuriha, kukhupa v. t. b) (sofrer as consequências de) kukháwúlá v. i., kuriha v. t. c) (purificar (um local sagrado) de profanação) kubasisa v. caus. 2. v. pron. (purificar-se (de crimes ou pecados)) kutibasísa, kutikhúpá v. pron."
8252,expiatório,"adj. -á kúríha; -á kubásísa, -á kúkhúpa loc. adj."
8253,expiração,s. f. a) (expulsão do ar dos pulmões) kuhéfémúla (ku). b) (fim ou termo de certo prazo) kuhéla ká nkarhímpimu (ku).
8254,expirar,"v. t. a) (expelir (o ar) dos pulmões; exalar, respirar) kuhéfémúla v. t. b) (revelar, demonstrar) kukómbísá v. t. c) (proferir, dizer) kuvúlá v. t. 2. v. i. a) (morrer) kufá v. i. b) (chegar ao fim; finalizar(-se)) kuhélá v. i, kuchipa v. i. (1) cheap. c) (perder a força, a acção) kuwa nkorha, kugódólá v. i. d) (extinguir-se a pouco e pouco; sumir-se, definhar) kunyámálála, kutsóngáhála v. i."
8255,explicação,"s. f. nhlamuselo | ntlhamuselo (mu-mi/yi-ti), xitlhávúkányíso (xi-svi), nhlalusu (yi-ti)."
8256,explicador,"s. m. muhlamuseli | mutlhamuseli, mutlhávúkányísi (mu-va)."
8257,explicar,"v. t. kuhlamusela kutlhamusela, kutlhávúkányísa v. t."
8258,explicativo,"adj. -á kúhlámúséla -á kútlhámúséla, -á kutlhávúkányísa loc. adj."
8259,explícito,"adj. -á kuvúlíwá hí náwu, -á kungakánétíwí; -á le riváléli, á le gqekéni loc. adj."
8260,explodir,"v. t. kubúlúsá, kubálésá v. caus., kudúvúlá v. t. 2. v. i. kubúlúká, kubáléká, kudúvúká v. i."
8261,exploração,"s. f. a) (acto ou efeito de explorar) kuválángá (ku), mbálángú (mu-mi). || [exploração do campo inimigo]: (Mil.) vundzaveti (vu). b) (pesquisa, sondagem) nkámbísíso, lávísíso ndzávisíso (mu-mi), vuxópáxópi (vu). c) (desenvolvimento de uma indústria, de um negócio, com fins especulativos) bindzú (ri-ma), ntirho (mu-mi); vuxololi (vn)."
8262,explorador,s. m. a) (espião) nhlóli (yi-ti). b) (aquele que tira do trabalho alheio excessivo lucro) muxololi (mu-va).
8263,explorar,"v. t. a) (percorrer estudando, procurando) kuválángá v. t. b) (sondar, perscrutar) kurhálárhála, kulangútísísa v. t. c) (pesquisar, observar, estudar) kuxópáxópa v. t. d) (tirar partido ou proveito de; fazer produzir; desenvolver (um negócio ou indústria)) kubindzula v. t. e) (tirar partido ou proveito de parentesco, amizade, relações com; sugar) kuxolola v. t. f) (abusar da boa-fé, da ingenuidade ou da ignorância de; enganar) kuxísá, kuxenga v. t."
8264,explosão,"s. f. kubúlúká, kudúvúká (ku)."
8265,explosivo,"s. m. xibúlukwá, xibúlúkí (xi-svi)."
8266,expoliar,"v. t. kukhínyávéza, kuphangela v. t."
8267,expor,"v. t. kukómbísá; kudlúnyátá, kuvéká riváléni, kuvéká gqekéni v. t. || [expor um assunto]: kuyandlala v. t. 2. v. pron. kutiyánéká v. pron."
8268,exportação,s. f. a) nxavísélavámbe (mu-mi); kuxavisela matíkó yá vámbe (ku). b) ntlúlélíso (mu-mi).
8269,exportar,v. t. a) kuxavisela matíkó yá vámbe v. apl. b) kutlúlélísa v. caus.
8270,exposição,"s. f. a) (narração) rúngula (ri-ma), ntshandzu, nsúmélo (mu-mi). || [exposição, petição por escrito]: mukhwepa wá xikhálú (mu-mi). b) (exibição, mostra) nkómbíso, nkómbó (mu-mi)."
8271,exposto,"adj. a) (que está à mostra, à vista) -á le riváléni, -á le gqekéni, á le nkangálá; -á kutikómbá, -á kutídlúnya loc. adj. b) (que se narrou) -á kurúngúlíwa, -á kuvúlíwa; -á kuyándlálíwa loc. adj. 2. s. m. (aquilo que está exposto) xikómbísiwá (xi-svi)."
8272,expressão,"s. f. a) (acto de exprimir(-se)) kukómbísa (ku). b) (enunciação do pensamento por meio de gestos ou palavras escritas ou faladas; verbo) kuvúlávúla (ku); ritó (ri-ma). || [expressão idiomática]: mahirí (ma). c) (dito) xivúlwa (xi-svi). d) (frase) xigá (xi-svi). e) (semblante) ngóhé | nghóhé (yi-ti), matikómbéla (ma). f) (vivacidade, animação) nyawukelo (mu-mi), manyawú (ma). g) (representação, manifestação) xikómbíso (xi-sui)."
8273,expressar,"v. t. kuvúlá, kukómbísá v. t. 2. v. pron. kutikómbá, kutikómbísá v. pron."
8274,expressivo,"adj. -á kutwísíséka, á kudlúnyátísa loc. adj."
8275,expresso,"adj. a) (que fica exarado; manifesto) -á kutsálíwá; kuvúlíwa loc. adj. b) (que não admite réplicas; terminante, categórico) -á mahétó, á kuhétéléla, -á mákúmu; -á kungakánétíwi loc. adj. c) (que é enviado rapidamente, sem delongas) -á xíhatlá loc. adj. d) (Diz-se do meio de transporte colectivo que vai ao seu destino sem parar ou quase sem parar em nenhuma estação ou cidade) -á nkwánkwánáná, -á murarára loc. adj., -á xiprésu loc. adj. (P). 2. s. m. (meio de transporte coletivo expresso) nkwánkwánáná (mu-va); xiprésu (xi-svi). (P)."
8276,exprimir,"v. t. kuvúlá, kukómbísá v. t. 2. v. pron. kutikómbá, kutikómbísá v. pron."
8277,expugnar,"v. t. kuhlásélá, kudumela v. t."
8278,expulsão,"s. f. kuhlóngólá, kucaca (ku), nhlóngólo, ncacu (mu-mi)."
8279,expulsar,"v. t. kuhlóngólá, kucaca, kudenda v. t."
8280,expulso,"adj. -á kuhlóngólíwa, -á kúcácíwa loc. adj."
8281,expurgar,v. t. kubasisa v. caus.
8282,exsudar,"v. t. & i. kubalha, kunyuka, kudlúrúrúka v. t. & i."
8283,êxtase,s. m. (arrebatamento) manyawú (ma).
8284,extasiado,"adj. (dominado pela emoção, pelo entusiasmo) -á kúnyányúka, -á mányawű; -á kunyáwúkélíwa loc. adj."
8285,extasiar,"v. t. kunyawuta; kunyawukisa v. caus. 2. v. pron. kunyawuka v. neutr. pass., kunyawukeliwa v. i."
8286,extensão,"s. f. a) kuyánámá (ku), vunavi, vunavuluku; vuyandlalu (vu) b) (grandeza) makúléla (ma), kúléla (ri-ma)."
8287,extensionista,"s. 2 gen. (Moç.) (profissional que actua em extensão rural, no sector da agricultura) murimisi (mu-va)."
8288,extenso,"adj. kúlú adj., á kúléha, -á kuyánámá loc. adj."
8289,extenuado,adj. -á kukárhálá loc. adj.
8290,extenuar,"v. t. (esgotar as forças a; enfraquecer ao extremo) kuhétá mátimbá, kuhétá ntámu v. t., kujíyélísa v. caus. 2. v. pron. (enfraquecer-se, debilitar-se) kuhélá mátimbá, kuhélá ntámu, kujíyélá, kudámbá v. i."
8291,exterior,adj. -á le hándlé loc. adj. 2. s. m. (a parte externa) hándlé (ha/ku).
8292,exteriorizar,"v. t. (tornar exterior; dar a conhecer) kuhúmésá, kupálúxá, kukómbísá, kukhipa v. t. 2. v. pron. (manifestar-se) kutikómbá, kutikómbísá v. pron."
8293,exterminador,"s. m. & adj. mudláyí, musúvisí (mu-va)."
8294,exterminar,"v. t. a) (expulsar) kuhlóngólá v. t. b) (destruir com mortandade) kudláyétélá v. t. c) (acabar coms; fazer desaparecer) kusúvísá, kuhélísa v. caus."
8295,extermínio,s. m. vulovisi (vu).
8296,externar,"v. t. (tornar exterior, manifestar, exteriorizar) kuhúmésá, kupálúxá, kukómbísá, kukhipa v. t. 2. v. pron. (manifestar-se, exteriorizar-se) kutikómbá, kutikómbísá v. pron."
8297,externo,adj. -á le hándlé loc. adj.
8298,extinção,"s. f. a) (acto ou efeito de apagar-se) kutíméká, kupfhítéká (ku). b) (perecimento) kusúvá, kulova, kuhélá, kunyámálála (ku)."
8299,extinguir,"v. t. a) kuhélísá, kusúvísá v. caus. b) (apagar, por exemplo, o fogo) kutimá, kupfhítá v. t. 2. v. pron. (extinguir-se) a) kuhélá, kusúvá, kunyámálála v. i. b) (apagar-se) kutíméka, kupfhítéká v. neutr. pass."
8300,extinto,"adj. a) (que deixou de existir; fechado) -á kúpfálíwa loc. adj. Ex.: loja extinta xitóló xá kúpfálíwa b) (suprimido) -á kuhélísíwa, -á kusúvisíwa loc. adj. c) (apagado) -á kutímíwá, -á kupfhítíwá; -á kutíméká, -á kupfhítéká loc. adj. d) (morto) -á kufá loc. adj. e) (Diz-se de vulcão que não entra mais em erupção.) -á kutíméká, -á kupfhítéká loc. adj."
8301,extirpar,"v. t. kuhélísá, kusúvísá v. caus."
8302,extorcionário,adj. & s. m. mutékélí (mu-va).
8303,extorquir,v. t. (obter por violência) kutékélá v. apl. Ex.: Extorquiu gado ao vizinho. Átékélé muyákélánu tihomú.
8304,extra,"adj. 2 gen. (extraordinário) -á xiyengételá, -á xihóvha loc. adj. 2. s. m. (pessoa que faz serviço acidental ou suplementar) phaciso (ri-ma)."
8305,extracção,"s. f. a) (acto ou efeito de extrair) kuhúmésá, kukhipa (ku). || [extracção, por exemplo, da amêndoa do canhu]: kuvangula (ku), vangulu | mbangulu, muvangulu (mu-mi). || [extracção de qualquer coisa entalada, encaixada]: kuxokola; kuhlomula, kutlhavula (ku). b) (acto ou efeito de arrancar) kugúlá, kutsuvula; kunghob'ola (ku). c) (acto ou efeito de sugar, de chupar) kupsóngá, kupsómpsá, kuyán'wá (ku), mpsóngó (mu-mi). d) (acto ou efeito de reproduzir, de copiar) kutékéléla (ku), ntékélélo (mu-mi), kukópá, kukopicha (ku). (1) copy, kukopiyara (ku). (P) copiar. e) (acto do sorteio de rifas e lotarias) pshampshá (vi-ti), ximátha, xiváta (xi-svi)."
8306,extracto,"s. m. a) (coisa que se extraiu de outra; fragmento) xiyengé (xi-svi). b) (resumo, síntese) nkomiso, nkátsákányu (mu-mi). c) (produto industrial constituido de essência aromática; perfume) lisénse (yi-ti); xinun'hweli (xi-svi)."
8307,extractor,s. m. (de ar) xihúmésámoya (xi-svi).
8308,extrair,"v. t. a) (tirar de dentro de onde estava; tirar para fora) kuhúmésá v. caus., kukhipa v. t. || [extrair, por exemplo, a amêndoa do canhu]: kuvangula v. t. || [extrair qualquer coisa entalada, encaixada]: kuxokola; kuhlomula, kutlhavula v. t. b) (arrancar) kugúlá, kutsuvula; kunghob'ola v. t. c) (reproduzir, copiar) kukópá, kukopicha v. t. (1) copy. d) (sugar, chupar) kupsóngá, kuyán'wá v. t. e) (fazer o sorteio de rifas e lotarias) kuyendla pshampsha | kuyenca pshampsha, kumaha pshampshá v. t."
8309,extraordinário,adj. -kúlúkumba adj.; -á kuhlámálísa loc. adj.
8310,extravagância,"s. f. vunyanyú (vu) |xinyanyú (xi-svi), mintándhá (mi)."
8311,extravagante,adj. 2 gen. -á mintándhá loc. adj.
8312,extravasar,"v. t. a) (derramar, fazer transbordar (um liquido)) kuhalatela v. t. b) (manifestar de modo impetuoso, transbordar) kuhlántá v. t. (fig.). 2. v. i. a) (sair dos canais naturais; transbordar) kukhápá v. i. b) (sair fora dos limites, do espaço de; transbordar) kuhalakela v. i. c) (transbordar - Diz-se dos líquidos a ferver) kupupuma, kuphupha, kupfhupfhuma v. i."
8313,extraviado,adj. -á kuláhléká; -á kúnyúmba loc. adj.
8314,extraviar,"v. t. kuláhlá v. t., kunyumbisa; kuhámbúkísa v. caus. 2. v. pron. kuláhléká, kunyumba; kuhámbúká v. i."
8315,extravio,"s. m. kuláhlá, kuláhléká (ku)."
8316,extremado,"adj. -kúlú adj., -á le henhlá loc. adj."
8317,extremidade,"s. f. makumu (ma), choká (ri-ma), ponta (yi-ti). (P) ponta."
8318,extremo,"adj. a) (que está no ponto mais afastado, distante) -á le kule loc. adj. b) (que atingin o grau máximo; extraordinário) -kúlú adj., -á vúgimahenhlá loc. adj. c) (final) -á mákúmu, -á kuhétéléla loc. adj. d) (extraordinário) -kúlú, á le henhlá loc. adj. 2. s. m. a) (o ponto mais distante) vugimamusi (vu). b) (extremidade) makumu (ma)."
8319,exuberância,"s. f. (superabundância) ntálú, ndzálú (mu-mi)."
8320,exuberante,"adj. 2 gen. a) (superabundante) -á kúyándzá ngópfu loc. adj. b) (cheio, repleto) -á kutálá oc. adj. c) (animado; vigoroso) -á kúhányánya, -á mátimbá loc. adj."
8321,exultação,"s. f. ntsaku (mu-mi), mintlóló (mi). (sem singular)."
8322,exultante,"adj. -á mintlóló, á kúkhána loc. adj."
8323,exultar,"v. i. kukhana, kutsakisisa v. i."
8324,ezraita,s. m. & adj. muézra (mu-va).
8325,fá,s. m. (nota musical) få (mu-va). (P).
8326,fã,s. m. mukhúzélí; murhándzisísí (mu-va).
8327,fábrica,"s. f. vumákélo, vukhándhéló (vu), fábrika (ri-ma). (P)."
8328,fabricação,"s. f. kukhándhá, kuhámbá, kumáká (ku)."
8329,fabricar,"v. t. kukhándhá, kuhámbá, kumáká v. t."
8330,fabrico,"s. m. kukhándhá, kuhámbá, kumáká (ku), vumákí (vu)."
8331,fábula,"s. f. nsungu, nkáríngána | káringána, ntshékéto (mu-mi), xihitana (xi-svi)."
8332,faca,"s. f. xikhwá (xi-svi), mukwá (mu-mi). (Ro)."
8333,facalhão,"s. f. (catana) bángá (ri-ma), mésa (mu-mi). (A) mes."
8334,façanha,"s. f. xiyendlo xá risímá, xiyendlo xá vúnhénha, xiyendlo xá kuhlámálísa (xi-svi)."
8335,facção,"s. f. a) (bando sedicioso) vahlámbúlúki (va), ntlawá wá vahlámbúlúki (mu-mi). b) (partido político) nhlanganu (wá polítika) (mu-mi), vándlá (ri-ma), partídu (ri-ma). (P) partido."
8336,faccioso,"adj. -á vupfúkélí, -á kúyávána loc. adj., muhlámbúlúki, mupfúkéli (mu-va)."
8337,face,"s. f. a) (cara) ngóhé | nghóhé (yi-ti), vuso (vu) risó (ri). b) (cada uma das duas partes laterais da cara situadas sob os olhos e ladeando o nariz) rhámá (ri-ma). c) (lado) tlhelo (ri-ma). d) (frente) mahlwéni (ku)."
8338,fachada,s. f. tlhelo rá le máhlwéni ká yíndlo; tlhelo rá yíndlo (ri-ma).
8339,facho,"s. m. xisásá, xisásándzílo (xi-svi)."
8340,fácil,"adj. 2 gen. -á kuvévúká, -á kuwólóvá; -á kúnábzála loc. adj."
8341,facilidade,"s. f. kuvévúká, kuwólóvá, kunabzala (ku), vévúku (ri-ma). || [facilidades]: svivévúkísi, svinabzalisi (sui)."
8342,facilitação,"s. f. kunabzalisa (ku), xjétu (ri-ma). (P) jeito."
8343,facilitar,"v. t. kuvévúkísa, kuwólóvísa, kunabzalisa v. caus."
8344,facinora,s. 2 g. xikelemu (xi-svi). (A) skelm.
8345,facto,"s. m. a) xiyendleko (xi-svi), mhaká (yi-ti). || [facto indicado pelos ossículos divinatórios]: bvúrhi (ri) (sem plural). (cf. ossículo). || [de facto]: (com efeito, realmente, na verdade) hakunéne, vhéla adv."
8346,factor,"s. m. a) xivangelo (xi-svi). b) (Aritm.) (cada um dos elementos submetidos à operação de produto, a multiplicação) xiyandzisi (xi-svi). c) (aquilo que contribui para um resultado) xiyendli (xi-svi). || [factores de produção humanos]: vátírhi (va). || [factores de produção extra-humanos]: svítírho (svi)."
8347,factura,"s. f. fatúra (ri-ma). (P), xikómbísánxávu (xi-svi)."
8348,faculdade,"s. f. a) (capacidade, natural ou adquirida, de fazer alguma coisa; virtude) matimbá (ma). b) (aptidão inata, dom) nyíkó (yi-ti). c) (direito, privilégio) mfánélo (yi-ti); nkátéko (mu-mi). d) (liberdade de agir; permissão) mpfumelelo (mu-mi). e) (qualquer sector do conhecimento humano) vutíví (vu). f) (o conjunto das disciplinas professadas em cada área do ensino de nível superior) fakuldádi (ri-ma). (P). || (ext.) (escola superior (unidade de um conjunto universitário)) fakuldádi (ri-ma) (P)."
8349,facultar,"v. t. kunyíká v. t., kupfumelela, kunabzalisela v. apl."
8350,facultativo,adj. -á kutshuka -yéndléka; -á kutihlawúléla loc. adj.
8351,fada,"s. f. nyavulambí (mu-va), xivanganhlahlé (xi-svi)."
8352,fadado,adj. (destinado de antemão) -á kúlúlámísélíwa loc. adj.
8353,fadiga,"s. f. kukárhálá (ku), nkárhálu (mu-mi) (geralmente no plural)."
8354,fado,"s. m. a) (boa sorte) njombó, nhlahlé (yi-ti), nkátéko (mu-mi), vulambi (vu). b) (canção popular portuguesa) fádu (ri-ma). (P)."
8355,fagulha,s. f. nhláhlé (vi-ti).
8356,faia,s. f. (Bot.) mfaya (mu-mi). (P).
8357,faina,s. f. ntirho (wá kunónónhwa) (mu-mi).
8358,faisão,s. m. chínsí (yi-ti).
8359,faisca,s. f. a) (centelha) nhláhlé (yi-ti). b) (raio) rihati (ri-ti).
8360,faiscar,"v. i. kutsayita, kuhatima | kuphatima, v. i., kutsayitsayi, kuphatiphati, kuhatihati ideo."
8361,faixa,"s. f. a) (tira de tecido, couro, etc., com que se aperta ou enfeita a cintura) båndhi (ri-ma). ( ) band.; nkhámú (mu-mi), xikhámú (xi-svi). b) (fita, tira) vambá (ri-ma), ntéra (mu-mi). c) (tudo o que se apresenta à vista em forma de tira ou listra) ndzhátí (mu-mi), vambá muvambá, mamba (mu-mi). d) (parte, porção) xiyengé (xi-svi). e) (cada uma das músicas gravadas independentemente num disco) risimú (ri-ti). f) (intervalo entre dois extremos ou limites dados) mukhandlu (mu-mi). g) (mão, lado) tlhelo (ri-ma). h) (porção de terra estreita e longa) rivambá (ri-ti). i) (orla) ridongá (ri-ti)."
8362,fala,"s. f. mbúlávúlu (mu-mi), kuvúlávúla, kukhúlúmá (ka). || ritó (ri-ma). [falas]: svivúlavúla (svi)."
8363,falácia,s. f. a) (afirmação falsa ou errónea) mavunhwa (ma). b) (falatório) gúwá (ri-ma).
8364,falador,"adj. & s. m. mubebezeli, mubzábzárhúki (mu-va), xivúlávúli, xipshápshárhí (xi-svi)."
8365,falange,s. f. xidingwana (xi-sui).
8366,falar,"v. i. kuvúlávúla, kukhúlúma v. i. || [falar alto]: kupólómbá, kukwángúlá, kuhókómútéka, kuhókólóka v. i. || [falar com alguém à distância, gritando]: kulengéléta, kuléngétá v. i. || [falar com alguém que está perto em voz alta]: kuwówórhéka v. i. || [falar com voz estridente]: kucwángúlá, kucwéngá v. i. || [falar com os seus botões, falar de si para si]: kubzélá tsólo (idiom.). [cf. dizer, joelho]. || [falar muito de tal maneira que se não escute o que os outros têm a dizer]: kuphuphurhuka, kubzáká v. i. || [falar agressivamente, sem respeito]: kutlarhula v. i. || [falar por falar]: (falar à toa, sem razão) kuvúlávúléla lómó v. i."
8367,falatório,"s. m. a) (ruído de vozes de muitas pessoas a falar ao mesmo tempo) gúwá, póngó póngwé (ri-ma). b) (falar demorado e importuno) kubábárhúka, kupshápshárhá, hláhlárhúka (ku). c) (murmuração, maledicência) vuheveheve (vu). d) (locutório, parlatório) s. m. vuvúlávúlélo (vn)."
8368,falaz,"adj. a) (intencionalmente enganador, enganoso) -á vuxísí, -á vukángányísi loc. adj. b) (vão, enganoso) -á hává; -á kúpházámísa, -á kulútlísá loc. adj."
8369,falcão,"s. m. ximhungú, (xi-svi). || [variedades de falcão]: rikhozí khozí (ri-ti), khexé (ri-ma), n'wáríkápányana (mu-va)."
8370,falda,s. f. (base de montanha) rigingirhi (ri-ti).
8371,falecer,"v. t. kufá v. i. kulúzá, kuhundza, kulova, kusúvá v. i."
8372,falecido,adj. -á kufá loc. adj. 2. s. m. (indivíduo que faleceu) mufi (mu-va).
8373,falecimento,s. m. kufá (ku).
8374,falência,s. f. kuwa ká nongóso; kudlúvéká (ku).
8375,falha,"s. f. a) (fenda, brecha, racha) mukhandlu (mu-mi), pholwá (ri-ma). || [falha, por exemplo, numa panela de barro]: rifá (ri-ma). b) (espaço vazio numa série ou num elemento contínuo) muhochó (mu-mi). || [falha, espaço natural entre os dentes incisivos superiores]: xinceko (xi-svi), sangu (ri-ma), n'wehle (mu-mi). || [falha entre os dentes]: (onde se extraiu ou cain um dente) vende (ri-ma). c) (falta; defeito) mphazamu (mu-mi), xihoxo; xizathu (xi-svi), fálha (ri-ma). (P)."
8376,falhado,"adj. a) (que tem falha(s) -á pholwá | -á mápholwá loc. adj. b) (rachado) -á rifá; -á kúpándzéka loc. adj. c) (que falhou, que não teve éxito) -á kudzétá, -á kúwa, -á kudlúvéká, -á kutsándzéká loc. adj."
8377,falhar,"v. t. a) (errar) kuphazama, kuhoxa v. t. b) (deixar de fazer ou cumprir; não acudir) kutsándzéká, kudlúvéka v. t. 2. v. i. a) (faltar ao peso ou à medida) kukíyélá v. i. b) (não suceder como se esperava) kunyatha v. i. c) (negar fogo, não acertar (espingarda, tiro)) kun'qapha v. i. d) (malograr-se, frustrar-se) kutsándzéká, kudzétá v. i. e) (deixar de suceder, de ocorrer) kuthindheka v. i. f) (dar em falso) kuphúkwá, kuhúpá v. i., kufalhara v. i. (P). || [não conseguir penetrar, como uma lança contra um alvo escorregadio]: kudlúdlúvúta | kudlúndlúvúta v. i."
8378,falho,"adj. -á kukíyélá, -á kungahétísékángá loc. adj."
8379,falibilidade,"s. f. vuhává, vudlúvéki (vu)."
8380,falido,"adj. -á kudzétá, -á kúwa; -á kúwéliwa loc. adj."
8381,falir,"v. i. a) kuwa v. i., kuchipa v. i. (1) cheap, kufalira v. i. (P). b) (fracassar) kuhlúléká, kutsándzéká, kudlúvéká, kubá hansi v. i., kuweliwa v. pass."
8382,falo,"s. m. a) (representação do pénis, adorado pelos antigos como símbolo da fecundidade da natureza) xifáníso xá donyó (xi-svi). b) (o pénis) donyó, xóndó (ri-ma), muthóndo (mu-mi)."
8383,falsear,v. t. kuphaya; kuhémbá v. t.
8384,falsidade,"s. f. a) (falta de sinceridade) vukángányísi, vuhémbí; vumbabvá, vunyóká (vu). b) (mentira) mavunhwa (ma)."
8385,falsificação,s. f. kuphaya (ku).
8386,falsificado,"adj. -á kufúlíwá, á kúpháyíwa, -á mávúnhwa loc. adj."
8387,falsificar,"v. t. kufúlá, kuphaya v. t., kufalsifikara v. t. (P)."
8388,falso,"adj. a) -á kuhémbá, -á kukángányisa, -á kupháya; -á mavúnhwa; -á xíhóxo; -á kukálá kutíyá, á kukálá ntíyíso loc. adj. b) (aparente) xá kungi loc. adj. Ex.: tecto falso xá kungí í lwángu [cf. tecto]. c) (que mente; desleal) mukángányisi, muxísí, muxengi, mbabvá (mu-va), nyóká (yi-ti). (fig.) [cf. cobra]."
8389,falto,"adj. (desprovido, carente) -á kupfúmálá loc. adj., mupfúmáli (mu-va); xipfúmálí (xi-svi)."
8390,faltoso,"adj. a) (que cometeu falta; culpado) mujóhí, muwónhí (mu-va). b) (que costuma faltar) mulovhi, mupfúmáléki; mujezi (mu-va)."
8391,fama,"s. f. kutívéká, kudzuneka (ku), ndhuma (yi-ti), ntwáló (mu-mi), vító (ri)."
8392,família,"s. f. a) njangu, munti (mu-mi), nghámú (yi-ti), b) (parente) xaka (ri-ma). c) (ascendência, linhagem) rixaka (ri-ti)."
8393,familial,"adj. 2 gen. (respeitante à, ou próprio da família; doméstico, familiar) -á njángu; -á múnti | -á múti loc. adj."
8394,familiar,"adj. 2g. a) (respeitante à, ou próprio da família) -á njángu á múnti- múti loc. adj. b) (que pertence ao cotidiano) -á ntólóvélo, -á xihéna loc. adj. c) (que se conhece por haver visto, praticado, estudado, etc., muitas vezes) -á kutívéká; -á kutólóvélíwa, -á kukálá kulútúka loc. adj. d) (intimo, cordial) -á kútlhántlhéka, á kútshúnxéka loc. adj. 2. s. m. (pessoa da familia) xaka (ri-ma)."
8395,familiaridade,"s. f. vuxaka (vu), kutólóvélána (ku), ntólóvélánu (mu-mi)."
8396,faminto,adj. -á ndlála loc. adj.
8397,famoso,"adj. -á ndhumá; -á vító, á kudzúnéka loc. adj."
8398,fanático,"adj. a) (que tem zelo excessivo pela religião) -á kutinyíkétélá kúhúndzá mpímu ka vukhólwa loc. adj. b) (de uma devoção quase sempre cega, apreciador apaixonado) mbábzí (yi-ti). Ex.: fanático por futebol mbábzí yá bóla."
8399,fanfarra,s. f. vunangá (vu).
8400,fanfarrão,"adj. & s. m. -á kutixóxóvísa, -á kutiqhálámbísa, -á vútaxů, -á vuháwu loc. adj. n'wáximháni, nghunghúnatú, mutixóxívísi, mutiqhálámbísi (mu-va)."
8401,fanfarrice,"s. f. kutixóxóvísa, kutiqhálámbísa (ku), vútaxú, vuháwu (vu)."
8402,fanfarronice,"s. f. kutixóxóvísa, kutiqhálámbísa (ku), vútaxú, vuháwu (vu). (Ro)."
8403,fanha,s. f. (pronúncia pelo nariz; voz de quem fala ou parece falar pelo nariz) xinhúmpfú xinhompfú (xi-svi). (geralmente sem plural).
8404,fanhosear,"v. i. kuvúlávúla hí xinhúmpfú, kuvúlávúlísá xinhúmpfú v. i."
8405,fantasia,"s. f. a) (coisa puramente ideal ou ficcional, sem ligação com a realidade) xiphayu (xi-svi). c) (capricho, sonho) nórhó (mu-mi) (plural: milórhó). d) (capricho injustificável ou descontrolado da vontade ou da imaginação, esquisitice) s. f. vuháwu (vu), ntándhá (mu-mi), míjámujámu (mi)."
8406,fantasiar,"v. t. kuphaya, kufúlá; kulórhá v. t."
8407,fantasma,"s. m. a) ndzhúti (mu-mi), xindzhúti (xi-svi), xipóko (xi-svi). (A) spook. b) (criatura imaginária citada para amendrontar as crianças) xinghunghúmana, xingomungomu (xi-svi)."
8408,fantástico,"adj. -a kuhlámálisa loc. adj., -kúlú adj."
8409,Faraó,s. prop. Farú (mu-va).
8410,farda,"s. f. (uniforme) fárda (ri-ma). (P), xipáni (xi-svi). (A) inspan."
8411,fardamento,"s. m. (uniforme) fardaméntu, fárda (ri-ma). (P) farda, xipáni (xi-svi). (A) inspan."
8412,fardo,"s. m. xijumba (xi-svi), dzémbé (ri-ma), mpingá |mpingú (mu-mi), nhúndzú (yi-ti). || [fardo grande]: nquma (yi-ti). || [fardo muito pesado]: ntlakúlaváxurhe (mu-va)."
8413,farejar,"v. t. & i. kunun'hwetela, kunun'huta v. t. & i. || [farejar, adivinhar pelo faro, usando poderes medianímicos]: kufémbá v. t."
8414,farejo,"s. m. vunun'hwetelo, vunun'hutu (vn), nun'hwetelo, nun'hutu (mu-mi). || [acto de farejar, de adivinhar pelo farejo, usando poderes medianímicos]: kufémbá (ku), vufémbí (vn)."
8415,farelo,"s. m. muhúngu (mu-mi), vujangwana (vu). (Ro)."
8416,faringe,s. f. malákaláka (ma) (sem singular).
8417,farinha,"s. f. mapa (ma). (genérico). || [farinha de milho moído na moageira]: mpupu, mugayo (mi-mu). || [farinha de trigo]: farínyatrigu (ri-ma). (P), fúláhu (ri-ma). (1) flour. || [farinha granulada torrada, de mandioca]: rháli (ri-ma). (Ts). || [farinha do mesmo saco]: (da mesma laia) tá múlúngú mún'we; tá kuháhá svín'wé loc. adj."
